TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2020,11,9,17,25,6XX MOBERLY RD,Fairview,491391.7931,5457132.8544
Mischief,2020,12,7,11,47,6XX MOBERLY RD,Fairview,491391.7931,5457132.8544
Mischief,2020,3,5,21,11,6XX MOBERLY RD,Fairview,491392.8359,5457133.1464
Mischief,2020,6,6,21,0,6XX MOBERLY RD,Fairview,491392.8359,5457133.1464
Mischief,2020,9,24,0,30,6XX NELSON ST,Central Business District,491081.6912,5458470.7644
Mischief,2020,9,24,12,0,6XX NELSON ST,Central Business District,491081.6912,5458470.7644
Mischief,2020,10,4,18,23,6XX PACIFIC BLVD,Central Business District,492087.3681,5458247.5433
Mischief,2020,10,29,18,30,6XX PACIFIC BLVD,Central Business District,492163.9606,5458264.1541
Mischief,2020,10,10,8,0,6XX PIPELINE RD,Stanley Park,490124.3417,5460769.3876
Mischief,2020,7,19,8,15,6XX POWELL ST,Strathcona,493359.0941,5458919.6601
Mischief,2020,2,9,16,16,6XX POWELL ST,Strathcona,493359.256,5458928.803
Mischief,2020,8,25,11,13,6XX POWELL ST,Strathcona,493447.5005,5458916.9786
Mischief,2020,9,9,3,25,6XX POWELL ST,Strathcona,493447.5005,5458916.9786
Mischief,2020,2,8,12,52,6XX QUEBEC ST,Central Business District,492575.4129,5458499.8196
Mischief,2020,12,11,11,27,6XX QUEBEC ST,Central Business District,492576.5508,5458487.916
Mischief,2020,11,12,18,0,6XX RAYMUR AVE,Strathcona,493945.8224,5458484.4301
Mischief,2020,1,2,10,41,6XX RICHARDS ST,Central Business District,491603.3348,5458785.2991
Mischief,2020,1,2,17,0,6XX RICHARDS ST,Central Business District,491603.3348,5458785.2991
Mischief,2020,3,23,4,53,6XX RICHARDS ST,Central Business District,491603.3348,5458785.2991
Mischief,2020,3,23,9,8,6XX RICHARDS ST,Central Business District,491603.3348,5458785.2991
Mischief,2020,6,23,1,51,6XX RICHARDS ST,Central Business District,491603.3348,5458785.2991
Mischief,2020,12,4,0,5,6XX RICHARDS ST,Central Business District,491603.3348,5458785.2991
Mischief,2020,4,11,11,30,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,4,12,8,55,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,4,13,20,51,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,7,20,9,0,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,7,21,5,25,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,8,8,21,28,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,8,9,3,16,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,8,17,22,5,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,9,13,18,30,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,9,14,23,40,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,9,15,0,15,6XX RICHARDS ST,Central Business District,491603.5931,5458785.5604
Mischief,2020,6,9,6,0,6XX RICHARDS ST,Central Business District,491645.4025,5458827.9223
