TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2022,9,10,18,42,4XX E HASTINGS ST,Strathcona,493068.3246,5458733.2572
Break and Enter Residential/Other,2022,1,20,5,13,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Break and Enter Residential/Other,2022,2,6,22,55,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Break and Enter Residential/Other,2022,5,27,8,47,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Break and Enter Residential/Other,2022,9,18,14,19,4XX GORE AVE,Strathcona,492916.0776,5458732.1754
Break and Enter Residential/Other,2022,7,13,2,36,4XX HEATLEY AVE,Strathcona,493482.7411,5458677.7389
Break and Enter Residential/Other,2022,2,19,22,41,4XX KEEFER ST,Strathcona,493155.1691,5458513.3052
Break and Enter Residential/Other,2022,7,25,0,0,5XX CAMPBELL AVE,Strathcona,493833.6427,5458584.744
Break and Enter Residential/Other,2022,4,8,20,0,6XX ATLANTIC ST,Strathcona,493370.2139,5458118.1309
Break and Enter Residential/Other,2022,10,11,17,0,6XX ATLANTIC ST,Strathcona,493375.9964,5458117.9147
Break and Enter Residential/Other,2022,3,9,12,0,6XX E CORDOVA ST,Strathcona,493425.3686,5458826.4239
Break and Enter Residential/Other,2022,6,19,18,0,6XX GORE AVE,Strathcona,492936.7518,5458513.8526
Break and Enter Residential/Other,2022,2,13,15,2,6XX JACKSON AVE,Strathcona,493191.5521,5458425.9377
Break and Enter Residential/Other,2022,2,3,6,20,6XX POWELL ST,Strathcona,493447.5005,5458916.9786
Break and Enter Residential/Other,2022,2,15,12,8,6XX POWELL ST,Strathcona,493448.5984,5458916.9452
Break and Enter Residential/Other,2022,6,3,6,30,6XX PRINCESS AVE,Strathcona,493344.3921,5458494.9672
Break and Enter Residential/Other,2022,10,3,10,51,7XX CAMPBELL AVE,Strathcona,493827.1324,5458366.749
Break and Enter Residential/Other,2022,10,10,1,30,7XX E HASTINGS ST,Strathcona,493606.15,5458715.0604
Break and Enter Residential/Other,2022,8,27,7,6,7XX E HASTINGS ST,Strathcona,493635.4599,5458704.51
Break and Enter Residential/Other,2022,10,4,17,24,7XX E PENDER ST,Strathcona,493543.3758,5458612.4581
Break and Enter Residential/Other,2022,10,5,18,23,7XX GORE AVE,Strathcona,492945.6682,5458408.9025
Break and Enter Residential/Other,2022,3,13,17,0,7XX HAWKS AVE,Strathcona,493655.7396,5458370.0338
Break and Enter Residential/Other,2022,6,14,21,0,7XX JACKSON AVE,Strathcona,493190.4495,5458389.2587
Break and Enter Residential/Other,2022,8,19,0,0,7XX JACKSON AVE,Strathcona,493191.1087,5458410.985
Break and Enter Residential/Other,2022,3,3,5,0,7XX PRINCESS AVE,Strathcona,493341.2453,5458392.3823
Break and Enter Residential/Other,2022,8,12,20,0,7XX UNION ST,Strathcona,493521.0828,5458301.1673
Break and Enter Residential/Other,2022,2,8,21,0,8XX E GEORGIA ST,Strathcona,493686.5969,5458397.052
Break and Enter Residential/Other,2022,3,6,16,30,8XX E PENDER ST,Strathcona,493732.7386,5458606.0132
Break and Enter Residential/Other,2022,9,27,8,59,8XX UNION ST,Strathcona,493811.9713,5458292.8763
Break and Enter Residential/Other,2022,10,23,23,30,9XX E CORDOVA ST,Strathcona,493982.1313,5458806.7274
Break and Enter Residential/Other,2022,1,8,19,11,9XX STATION ST,Strathcona,492790.7674,5458143.0989
Break and Enter Residential/Other,2022,10,22,18,52,9XX TERMINAL AVE,Strathcona,493902.9132,5457453.3292
Homicide,2022,5,7,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Mischief,2022,2,15,20,0,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,3,20,8,23,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,4,12,19,50,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,4,22,19,17,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,6,7,17,51,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,6,16,17,52,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,6,21,19,50,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,6,22,17,17,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,6,29,8,31,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,7,12,17,14,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,7,22,17,56,10XX E PENDER ST,Strathcona,493990.6884,5458599.4601
Mischief,2022,1,19,19,56,10XX KEEFER ST,Strathcona,494062.2811,5458493.1978
Mischief,2022,9,21,22,40,10XX MAIN ST,Strathcona,492743.1954,5458088.01
Mischief,2022,1,13,14,37,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Mischief,2022,1,22,2,0,10XX MAIN ST,Strathcona,492743.7962,5458111.1348
Mischief,2022,5,4,20,36,10XX MAIN ST,Strathcona,492744.148,5458124.6654
Mischief,2022,1,19,10,32,10XX MALKIN AVE,Strathcona,494000.3691,5457817.0576
Mischief,2022,5,25,22,10,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.2305
Mischief,2022,4,11,10,2,10XX STATION ST,Strathcona,492788.8423,5458081.2304
Mischief,2022,9,8,15,57,10XX STATION ST,Strathcona,492788.8423,5458081.2304
Mischief,2022,2,6,16,23,10XX VENABLES ST,Strathcona,494021.5159,5458237.8858
Mischief,2022,5,2,17,0,11XX E GEORGIA ST,Strathcona,494116.6686,5458385.1489
Mischief,2022,7,13,2,15,11XX E HASTINGS ST,Strathcona,494148.911,5458699.4552
Mischief,2022,4,18,21,38,11XX E HASTINGS ST,Strathcona,494225.5817,5458699.4611
Mischief,2022,3,7,16,47,11XX FRANKLIN ST,Strathcona,494139.1409,5458846.9997
Mischief,2022,4,2,17,13,11XX FRANKLIN ST,Strathcona,494139.1409,5458846.9997
Mischief,2022,3,21,22,30,11XX GRANT ST,Strathcona,494207.007,5457637.0136
Mischief,2022,7,31,12,0,11XX GRANT ST,Strathcona,494207.007,5457637.0136
Mischief,2022,8,4,12,0,11XX GRANT ST,Strathcona,494274.1694,5457645.8023
Mischief,2022,5,26,1,0,11XX KEEFER ST,Strathcona,494134.1649,5458483.8728
Mischief,2022,8,15,21,58,11XX STATION ST,Strathcona,492835.0141,5457933.8959
Mischief,2022,9,18,0,21,11XX STATION ST,Strathcona,492837.2067,5458016.8403
Mischief,2022,7,1,21,8,11XX UNION ST,Strathcona,494158.9009,5458292.6439
Mischief,2022,10,2,16,17,11XX UNION ST,Strathcona,494158.9009,5458292.6439
Mischief,2022,5,16,16,44,11XX UNION ST,Strathcona,494192.4171,5458291.7311
Mischief,2022,7,20,13,33,11XX UNION ST,Strathcona,494192.4171,5458291.7311
Mischief,2022,6,27,1,55,12XX E HASTINGS ST,Strathcona,494248.74,5458707.3588
Mischief,2022,4,3,9,48,12XX E PENDER ST,Strathcona,494245.2387,5458634.8392
Mischief,2022,1,18,7,30,12XX E PENDER ST,Strathcona,494277.9299,5458633.7415
Mischief,2022,6,19,17,30,12XX MAIN ST,Strathcona,492739.9647,5457967.0456
Mischief,2022,9,23,3,31,12XX VENABLES ST,Strathcona,494285.6296,5458223.3232
Mischief,2022,4,19,14,57,12XX VERNON DR,Strathcona,494282.1881,5457922.4986
Mischief,2022,4,29,2,54,15XX VERNON DR,Strathcona,494276.6448,5457555.2225
Mischief,2022,6,8,6,37,15XX VERNON DR,Strathcona,494276.7411,5457557.1647
Mischief,2022,6,10,17,38,15XX VERNON DR,Strathcona,494276.7411,5457557.1647
Mischief,2022,6,18,17,24,15XX VERNON DR,Strathcona,494276.7411,5457557.1647
Mischief,2022,8,31,17,0,1688B MAIN ST,Strathcona,492686.5331,5457509.0201
Mischief,2022,4,13,23,30,16XX MAIN ST,Strathcona,492686.5331,5457509.0201
Mischief,2022,4,18,2,0,16XX MAIN ST,Strathcona,492686.5331,5457509.0201
Mischief,2022,9,26,6,0,16XX STATION ST,Strathcona,492870.6858,5457576.0099
Mischief,2022,6,14,5,11,18XX CLARK DR,Strathcona,494366.004,5457252.8917
Mischief,2022,1,14,6,51,1XX DUNLEVY AVE,Strathcona,493063.919,5458989.993
Mischief,2022,7,1,2,30,1XX DUNLEVY AVE,Strathcona,493063.9359,5458990.6275
Mischief,2022,7,11,23,53,1XX DUNLEVY AVE,Strathcona,493063.9359,5458990.6275
Mischief,2022,7,24,10,0,1XX DUNLEVY AVE,Strathcona,493063.9359,5458990.6275
Mischief,2022,5,11,1,11,1XX DUNLEVY AVE,Strathcona,493064.1212,5458997.3926
Mischief,2022,7,27,23,0,1XX DUNLEVY AVE,Strathcona,493073.5652,5459008.2611
Mischief,2022,10,17,19,37,1XX DUNLEVY AVE,Strathcona,493073.5652,5459008.2611
Mischief,2022,2,22,17,0,1XX DUNLEVY AVE,Strathcona,493074.1213,5459028.5913
Mischief,2022,6,30,0,0,1XX DUNLEVY AVE,Strathcona,493074.2169,5459032.1055
Mischief,2022,6,19,9,27,1XX MAIN ST,Strathcona,492768.9288,5459042.1015
Mischief,2022,8,31,10,30,1XX MAIN ST,Strathcona,492768.9288,5459042.1015
Mischief,2022,1,26,10,30,1XX PRINCESS AVE,Strathcona,493350.5691,5459014.0688
Mischief,2022,10,8,18,30,1XX PRINCESS AVE,Strathcona,493360.0366,5459023.6149
Mischief,2022,5,16,17,0,20XX CLARK DR,Strathcona,494363.6763,5457086.8626
Mischief,2022,10,12,11,30,20XX GLEN DR,Strathcona,494088.9802,5457118.2269
Mischief,2022,1,10,19,4,2XX ALEXANDER ST,Strathcona,492865.6921,5459044.8498
Mischief,2022,1,4,8,0,2XX DUNLEVY AVE,Strathcona,493061.6671,5458907.6233
Mischief,2022,7,4,15,0,2XX DUNLEVY AVE,Strathcona,493061.6671,5458907.6233
Mischief,2022,7,6,21,36,2XX DUNLEVY AVE,Strathcona,493061.6671,5458907.6233
Mischief,2022,9,24,20,30,2XX DUNLEVY AVE,Strathcona,493061.9457,5458917.6777
Mischief,2022,5,5,15,0,2XX E 1ST AVE,Strathcona,492792.0692,5457409.5153
Mischief,2022,3,31,21,13,2XX E CORDOVA ST,Strathcona,492755.5644,5458837.4373
Mischief,2022,6,19,2,45,2XX E CORDOVA ST,Strathcona,492755.5644,5458837.4373
Mischief,2022,6,19,13,7,2XX E CORDOVA ST,Strathcona,492755.5644,5458837.4373
Mischief,2022,10,21,1,0,2XX E CORDOVA ST,Strathcona,492755.5644,5458837.4373
Mischief,2022,4,13,21,8,2XX E CORDOVA ST,Strathcona,492761.2975,5458837.2714
Mischief,2022,4,7,19,50,2XX E CORDOVA ST,Strathcona,492808.2006,5458835.9159
Mischief,2022,4,24,11,44,2XX E CORDOVA ST,Strathcona,492808.2006,5458835.9159
Mischief,2022,8,10,16,29,2XX E CORDOVA ST,Strathcona,492808.2006,5458835.9159
Mischief,2022,10,20,12,38,2XX E CORDOVA ST,Strathcona,492808.2006,5458835.9159
Mischief,2022,3,29,5,41,2XX E CORDOVA ST,Strathcona,492810.3136,5458835.8549
Mischief,2022,5,11,9,20,2XX E CORDOVA ST,Strathcona,492848.7014,5458843.8934
